# Wordlist

# META
@vowels:T V _

# DATA
ID	﻿ID	CONCEPT	TOKENS	DOCULECT	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CUSTOMID	ALIGNMENT
112	112	mosquito	waeroa	Maori	54	6	A	W	2	2.W.C	2.0	waeroa	0	155	waeroa
348	348	mosquito	namu	Fijian	1	4	A	N	1	1.N.C	2.0	namu	0	154	namu
#
61	61	mother	whaea	Maori	6	6	A	W	2	2.W.C	2.0	whaea	0	157	whaea
291	291	mother	tina-na	Fijian	1	1	A	T	1	1.T.C	2.0	tina-na	0	156	tina-na
#
32	32	mouth	waha	Maori	"1,8"	6	A	W	2	2.W.C	2.0	waha	0	159	waha
260	260	mouth	gusu-na	Fijian	2	1	A	K	1	1.K.C	2.0	gusu-na	0	158	gusu-na
#
65	65	name	ingoa	Maori	6	7	X	I	2	2.I.V	1.5	ingoa	0	160	ingoa
295	295	name	yaca-na	Fijian	"1,18"	7	X	Y	1	1.Y.V	1.5	yaca-na	0	160	yaca-na
#
166	166	narrow	whaaiti	Maori	84	6	A	W	2	2.W.C	2.0	whaaiti	0	162	whaaiti
400	400	narrow	qiqÅ	Fijian	27	1	A	K	1	1.K.C	2.0	qiqÅ	0	161	qiqÅ
#
191	191	near	tata	Maori	9	1	A	T	2	2.T.C	2.0	tata	0	164	tata
424	424	near	vÅleka	Fijian	38	3	A	B	1	1.B.C	2.0	vÅleka	0	163	vÅleka
#
27	27	neck	ua	Maori	18	7	X	Y	2	2.Y.V	1.5	ua	0	166	ua
255	255	neck	domo-na	Fijian	46	1	A	T	1	1.T.C	2.0	domo-na	0	165	domo-na
#
70	70	needle	ngira	Maori	16	4	A	N	2	2.N.C	2.0	ngira	0	168	ngira
302	302	needle	i-cula	Fijian	21	7	X	I	1	1.I.V	1.5	i-cula	0	167	i-cula
303	303	needle	sau[laca]	Fijian	1	3	A	S	1	1.S.C	2.0	sau[laca]	0	169	sau[laca]
#
